"commune","time","nationality","age","value"
"Vienna <AT13> ",1971,"Austria.","Up.to.14.years.old.","253,305"
"Vienna <AT13> ",1981,"Austria.","Up.to.14.years.old.","200,759"
"Vienna <AT13> ",1991,"Austria.","Up.to.14.years.old.","173,313"
"Vienna <AT13> ",2001,"Austria.","Up.to.14.years.old.","183,747"
"Vienna <AT13> ",2002,"Austria.","Up.to.14.years.old.","185,691"
"Vienna <AT13> ",2003,"Austria.","Up.to.14.years.old.","189,036"
"Vienna <AT13> ",2004,"Austria.","Up.to.14.years.old.","192,777"
"Vienna <AT13> ",2005,"Austria.","Up.to.14.years.old.","195,509"
"Vienna <AT13> ",2006,"Austria.","Up.to.14.years.old.","196,324"
"Vienna <AT13> ",2007,"Austria.","Up.to.14.years.old.","195,766"
"Vienna <AT13> ",2008,"Austria.","Up.to.14.years.old.","193,590"
"Vienna <AT13> ",2009,"Austria.","Up.to.14.years.old.","191,615"
"Vienna <AT13> ",2010,"Austria.","Up.to.14.years.old.","190,042"
"Vienna <AT13> ",2011,"Austria.","Up.to.14.years.old.","188,926"
"Vienna <AT13> ",2012,"Austria.","Up.to.14.years.old.","187,420"
"Vienna <AT13> ",2013,"Austria.","Up.to.14.years.old.","186,208"
"Vienna <AT13> ",2014,"Austria.","Up.to.14.years.old.","185,501"
"Vienna <AT13> ",2015,"Austria.","Up.to.14.years.old.","185,551"
"Vienna 1st district, City <901> ",1971,"Austria.","Up.to.14.years.old.","2,708"
"Vienna 1st district, City <901> ",1981,"Austria.","Up.to.14.years.old.","1,956"
"Vienna 1st district, City <901> ",1991,"Austria.","Up.to.14.years.old.","1,650"
"Vienna 1st district, City <901> ",2001,"Austria.","Up.to.14.years.old.","1,452"
"Vienna 1st district, City <901> ",2002,"Austria.","Up.to.14.years.old.","1,479"
"Vienna 1st district, City <901> ",2003,"Austria.","Up.to.14.years.old.","1,451"
"Vienna 1st district, City <901> ",2004,"Austria.","Up.to.14.years.old.","1,429"
"Vienna 1st district, City <901> ",2005,"Austria.","Up.to.14.years.old.","1,420"
"Vienna 1st district, City <901> ",2006,"Austria.","Up.to.14.years.old.","1,368"
"Vienna 1st district, City <901> ",2007,"Austria.","Up.to.14.years.old.","1,337"
"Vienna 1st district, City <901> ",2008,"Austria.","Up.to.14.years.old.","1,291"
"Vienna 1st district, City <901> ",2009,"Austria.","Up.to.14.years.old.","1,264"
"Vienna 1st district, City <901> ",2010,"Austria.","Up.to.14.years.old.","1,304"
"Vienna 1st district, City <901> ",2011,"Austria.","Up.to.14.years.old.","1,280"
"Vienna 1st district, City <901> ",2012,"Austria.","Up.to.14.years.old.","1,258"
"Vienna 1st district, City <901> ",2013,"Austria.","Up.to.14.years.old.","1,233"
"Vienna 1st district, City <901> ",2014,"Austria.","Up.to.14.years.old.","1,230"
"Vienna 1st district, City <901> ",2015,"Austria.","Up.to.14.years.old.","1,276"
"Vienna 2nd district, Leopoldstadt <902> ",1971,"Austria.","Up.to.14.years.old.","15,926"
"Vienna 2nd district, Leopoldstadt <902> ",1981,"Austria.","Up.to.14.years.old.","11,942"
"Vienna 2nd district, Leopoldstadt <902> ",1991,"Austria.","Up.to.14.years.old.","9,335"
"Vienna 2nd district, Leopoldstadt <902> ",2001,"Austria.","Up.to.14.years.old.","9,184"
"Vienna 2nd district, Leopoldstadt <902> ",2002,"Austria.","Up.to.14.years.old.","9,234"
"Vienna 2nd district, Leopoldstadt <902> ",2003,"Austria.","Up.to.14.years.old.","9,544"
"Vienna 2nd district, Leopoldstadt <902> ",2004,"Austria.","Up.to.14.years.old.","9,799"
"Vienna 2nd district, Leopoldstadt <902> ",2005,"Austria.","Up.to.14.years.old.","9,916"
"Vienna 2nd district, Leopoldstadt <902> ",2006,"Austria.","Up.to.14.years.old.","10,033"
"Vienna 2nd district, Leopoldstadt <902> ",2007,"Austria.","Up.to.14.years.old.","10,058"
"Vienna 2nd district, Leopoldstadt <902> ",2008,"Austria.","Up.to.14.years.old.","9,876"
"Vienna 2nd district, Leopoldstadt <902> ",2009,"Austria.","Up.to.14.years.old.","9,830"
"Vienna 2nd district, Leopoldstadt <902> ",2010,"Austria.","Up.to.14.years.old.","9,796"
"Vienna 2nd district, Leopoldstadt <902> ",2011,"Austria.","Up.to.14.years.old.","9,880"
"Vienna 2nd district, Leopoldstadt <902> ",2012,"Austria.","Up.to.14.years.old.","9,861"
"Vienna 2nd district, Leopoldstadt <902> ",2013,"Austria.","Up.to.14.years.old.","9,898"
"Vienna 2nd district, Leopoldstadt <902> ",2014,"Austria.","Up.to.14.years.old.","10,019"
"Vienna 2nd district, Leopoldstadt <902> ",2015,"Austria.","Up.to.14.years.old.","10,099"
"Vienna 3rd district, Landstraße <903> ",1971,"Austria.","Up.to.14.years.old.","13,875"
"Vienna 3rd district, Landstraße <903> ",1981,"Austria.","Up.to.14.years.old.","9,324"
"Vienna 3rd district, Landstraße <903> ",1991,"Austria.","Up.to.14.years.old.","8,762"
"Vienna 3rd district, Landstraße <903> ",2001,"Austria.","Up.to.14.years.old.","8,478"
"Vienna 3rd district, Landstraße <903> ",2002,"Austria.","Up.to.14.years.old.","8,530"
"Vienna 3rd district, Landstraße <903> ",2003,"Austria.","Up.to.14.years.old.","8,512"
"Vienna 3rd district, Landstraße <903> ",2004,"Austria.","Up.to.14.years.old.","8,524"
"Vienna 3rd district, Landstraße <903> ",2005,"Austria.","Up.to.14.years.old.","8,543"
"Vienna 3rd district, Landstraße <903> ",2006,"Austria.","Up.to.14.years.old.","8,527"
"Vienna 3rd district, Landstraße <903> ",2007,"Austria.","Up.to.14.years.old.","8,409"
"Vienna 3rd district, Landstraße <903> ",2008,"Austria.","Up.to.14.years.old.","8,124"
"Vienna 3rd district, Landstraße <903> ",2009,"Austria.","Up.to.14.years.old.","8,101"
"Vienna 3rd district, Landstraße <903> ",2010,"Austria.","Up.to.14.years.old.","8,016"
"Vienna 3rd district, Landstraße <903> ",2011,"Austria.","Up.to.14.years.old.","8,044"
"Vienna 3rd district, Landstraße <903> ",2012,"Austria.","Up.to.14.years.old.","7,975"
"Vienna 3rd district, Landstraße <903> ",2013,"Austria.","Up.to.14.years.old.","7,884"
"Vienna 3rd district, Landstraße <903> ",2014,"Austria.","Up.to.14.years.old.","7,791"
"Vienna 3rd district, Landstraße <903> ",2015,"Austria.","Up.to.14.years.old.","7,836"
"Vienna 4th district, Wieden <904> ",1971,"Austria.","Up.to.14.years.old.","5,297"
"Vienna 4th district, Wieden <904> ",1981,"Austria.","Up.to.14.years.old.","3,320"
"Vienna 4th district, Wieden <904> ",1991,"Austria.","Up.to.14.years.old.","3,209"
"Vienna 4th district, Wieden <904> ",2001,"Austria.","Up.to.14.years.old.","2,837"
"Vienna 4th district, Wieden <904> ",2002,"Austria.","Up.to.14.years.old.","2,847"
"Vienna 4th district, Wieden <904> ",2003,"Austria.","Up.to.14.years.old.","2,827"
"Vienna 4th district, Wieden <904> ",2004,"Austria.","Up.to.14.years.old.","2,795"
"Vienna 4th district, Wieden <904> ",2005,"Austria.","Up.to.14.years.old.","2,789"
"Vienna 4th district, Wieden <904> ",2006,"Austria.","Up.to.14.years.old.","2,795"
"Vienna 4th district, Wieden <904> ",2007,"Austria.","Up.to.14.years.old.","2,774"
"Vienna 4th district, Wieden <904> ",2008,"Austria.","Up.to.14.years.old.","2,715"
"Vienna 4th district, Wieden <904> ",2009,"Austria.","Up.to.14.years.old.","2,672"
"Vienna 4th district, Wieden <904> ",2010,"Austria.","Up.to.14.years.old.","2,646"
"Vienna 4th district, Wieden <904> ",2011,"Austria.","Up.to.14.years.old.","2,665"
"Vienna 4th district, Wieden <904> ",2012,"Austria.","Up.to.14.years.old.","2,656"
"Vienna 4th district, Wieden <904> ",2013,"Austria.","Up.to.14.years.old.","2,633"
"Vienna 4th district, Wieden <904> ",2014,"Austria.","Up.to.14.years.old.","2,626"
"Vienna 4th district, Wieden <904> ",2015,"Austria.","Up.to.14.years.old.","2,621"
"Vienna 5th district, Margareten <905> ",1971,"Austria.","Up.to.14.years.old.","7,812"
"Vienna 5th district, Margareten <905> ",1981,"Austria.","Up.to.14.years.old.","5,635"
"Vienna 5th district, Margareten <905> ",1991,"Austria.","Up.to.14.years.old.","4,669"
"Vienna 5th district, Margareten <905> ",2001,"Austria.","Up.to.14.years.old.","4,926"
"Vienna 5th district, Margareten <905> ",2002,"Austria.","Up.to.14.years.old.","4,917"
"Vienna 5th district, Margareten <905> ",2003,"Austria.","Up.to.14.years.old.","4,993"
"Vienna 5th district, Margareten <905> ",2004,"Austria.","Up.to.14.years.old.","5,188"
"Vienna 5th district, Margareten <905> ",2005,"Austria.","Up.to.14.years.old.","5,263"
"Vienna 5th district, Margareten <905> ",2006,"Austria.","Up.to.14.years.old.","5,244"
"Vienna 5th district, Margareten <905> ",2007,"Austria.","Up.to.14.years.old.","5,139"
"Vienna 5th district, Margareten <905> ",2008,"Austria.","Up.to.14.years.old.","4,970"
"Vienna 5th district, Margareten <905> ",2009,"Austria.","Up.to.14.years.old.","4,837"
"Vienna 5th district, Margareten <905> ",2010,"Austria.","Up.to.14.years.old.","4,693"
"Vienna 5th district, Margareten <905> ",2011,"Austria.","Up.to.14.years.old.","4,633"
"Vienna 5th district, Margareten <905> ",2012,"Austria.","Up.to.14.years.old.","4,556"
"Vienna 5th district, Margareten <905> ",2013,"Austria.","Up.to.14.years.old.","4,453"
"Vienna 5th district, Margareten <905> ",2014,"Austria.","Up.to.14.years.old.","4,324"
"Vienna 5th district, Margareten <905> ",2015,"Austria.","Up.to.14.years.old.","4,213"
"Vienna 6th district, Mariahilf <906> ",1971,"Austria.","Up.to.14.years.old.","4,164"
"Vienna 6th district, Mariahilf <906> ",1981,"Austria.","Up.to.14.years.old.","3,254"
"Vienna 6th district, Mariahilf <906> ",1991,"Austria.","Up.to.14.years.old.","2,680"
"Vienna 6th district, Mariahilf <906> ",2001,"Austria.","Up.to.14.years.old.","2,404"
"Vienna 6th district, Mariahilf <906> ",2002,"Austria.","Up.to.14.years.old.","2,671"
"Vienna 6th district, Mariahilf <906> ",2003,"Austria.","Up.to.14.years.old.","2,674"
"Vienna 6th district, Mariahilf <906> ",2004,"Austria.","Up.to.14.years.old.","2,724"
"Vienna 6th district, Mariahilf <906> ",2005,"Austria.","Up.to.14.years.old.","2,689"
"Vienna 6th district, Mariahilf <906> ",2006,"Austria.","Up.to.14.years.old.","2,637"
"Vienna 6th district, Mariahilf <906> ",2007,"Austria.","Up.to.14.years.old.","2,563"
"Vienna 6th district, Mariahilf <906> ",2008,"Austria.","Up.to.14.years.old.","2,516"
"Vienna 6th district, Mariahilf <906> ",2009,"Austria.","Up.to.14.years.old.","2,460"
"Vienna 6th district, Mariahilf <906> ",2010,"Austria.","Up.to.14.years.old.","2,445"
"Vienna 6th district, Mariahilf <906> ",2011,"Austria.","Up.to.14.years.old.","2,383"
"Vienna 6th district, Mariahilf <906> ",2012,"Austria.","Up.to.14.years.old.","2,388"
