Area_name,Area_code,Year,Nationality,Age,Population
Vienna,AT13,1971,Austria,00-14,253305
Vienna,AT13,1981,Austria,00-14,200759
Vienna,AT13,1991,Austria,00-14,173313
Vienna,AT13,2001,Austria,00-14,183747
Vienna,AT13,2002,Austria,00-14,185691
Vienna,AT13,2003,Austria,00-14,189036
Vienna,AT13,2004,Austria,00-14,192777
Vienna,AT13,2005,Austria,00-14,195509
Vienna,AT13,2006,Austria,00-14,196324
Vienna,AT13,2007,Austria,00-14,195766
Vienna,AT13,2008,Austria,00-14,193590
Vienna,AT13,2009,Austria,00-14,191615
Vienna,AT13,2010,Austria,00-14,190042
Vienna,AT13,2011,Austria,00-14,188926
Vienna,AT13,2012,Austria,00-14,187420
Vienna,AT13,2013,Austria,00-14,186208
Vienna,AT13,2014,Austria,00-14,185501
Vienna,AT13,2015,Austria,00-14,185551
Vienna,AT13,1971,Austria,15,12509
Vienna,AT13,1981,Austria,15,17983
Vienna,AT13,1991,Austria,15,10918
Vienna,AT13,2001,Austria,15,11910
Vienna,AT13,2002,Austria,15,12205
Vienna,AT13,2003,Austria,15,12575
Vienna,AT13,2004,Austria,15,13148
Vienna,AT13,2005,Austria,15,13559
Vienna,AT13,2006,Austria,15,13836
Vienna,AT13,2007,Austria,15,13983
Vienna,AT13,2008,Austria,15,13779
Vienna,AT13,2009,Austria,15,13625
Vienna,AT13,2010,Austria,15,13544
Vienna,AT13,2011,Austria,15,13017
Vienna,AT13,2012,Austria,15,13046
Vienna,AT13,2013,Austria,15,12419
Vienna,AT13,2014,Austria,15,12175
Vienna,AT13,2015,Austria,15,12036
Vienna,AT13,1971,Austria,16,12400
Vienna,AT13,1981,Austria,16,18387
Vienna,AT13,1991,Austria,16,12315
Vienna,AT13,2001,Austria,16,12218
Vienna,AT13,2002,Austria,16,12216
Vienna,AT13,2003,Austria,16,12435
Vienna,AT13,2004,Austria,16,12937
Vienna,AT13,2005,Austria,16,13471
Vienna,AT13,2006,Austria,16,13814
Vienna,AT13,2007,Austria,16,13955
Vienna,AT13,2008,Austria,16,14052
Vienna,AT13,2009,Austria,16,13830
Vienna,AT13,2010,Austria,16,13689
Vienna,AT13,2011,Austria,16,13579
Vienna,AT13,2012,Austria,16,13022
Vienna,AT13,2013,Austria,16,13100
Vienna,AT13,2014,Austria,16,12421
Vienna,AT13,2015,Austria,16,12159
Vienna,AT13,1971,Austria,17,12306
Vienna,AT13,1981,Austria,17,18704
Vienna,AT13,1991,Austria,17,12693
Vienna,AT13,2001,Austria,17,12186
Vienna,AT13,2002,Austria,17,12504
Vienna,AT13,2003,Austria,17,12514
Vienna,AT13,2004,Austria,17,12865
Vienna,AT13,2005,Austria,17,13350
Vienna,AT13,2006,Austria,17,13836
Vienna,AT13,2007,Austria,17,13993
Vienna,AT13,2008,Austria,17,14087
Vienna,AT13,2009,Austria,17,14164
Vienna,AT13,2010,Austria,17,13955
Vienna,AT13,2011,Austria,17,13717
Vienna,AT13,2012,Austria,17,13626
Vienna,AT13,2013,Austria,17,13083
Vienna,AT13,2014,Austria,17,13163
Vienna,AT13,2015,Austria,17,12504
Vienna,AT13,1971,Austria,18,12459
Vienna,AT13,1981,Austria,18,19128
Vienna,AT13,1991,Austria,18,13470
Vienna,AT13,2001,Austria,18,12579
Vienna,AT13,2002,Austria,18,12767
Vienna,AT13,2003,Austria,18,13014
Vienna,AT13,2004,Austria,18,13182
Vienna,AT13,2005,Austria,18,13621
Vienna,AT13,2006,Austria,18,14082
Vienna,AT13,2007,Austria,18,14370
Vienna,AT13,2008,Austria,18,14530
Vienna,AT13,2009,Austria,18,14540
Vienna,AT13,2010,Austria,18,14626
Vienna,AT13,2011,Austria,18,14398
Vienna,AT13,2012,Austria,18,14298
Vienna,AT13,2013,Austria,18,14244
Vienna,AT13,2014,Austria,18,13582
Vienna,AT13,2015,Austria,18,13649
Vienna,AT13,1971,Austria,19,13745
Vienna,AT13,1981,Austria,19,19303
Vienna,AT13,1991,Austria,19,15455
Vienna,AT13,2001,Austria,19,13206
Vienna,AT13,2002,Austria,19,13462
Vienna,AT13,2003,Austria,19,13384
Vienna,AT13,2004,Austria,19,13744
Vienna,AT13,2005,Austria,19,13814
Vienna,AT13,2006,Austria,19,14282
Vienna,AT13,2007,Austria,19,14720
Vienna,AT13,2008,Austria,19,15222
Vienna,AT13,2009,Austria,19,15264
Vienna,AT13,2010,Austria,19,15448
Vienna,AT13,2011,Austria,19,15556
Vienna,AT13,2012,Austria,19,15372
Vienna,AT13,2013,Austria,19,15354
Vienna,AT13,2014,Austria,19,15116
Vienna,AT13,2015,Austria,19,14450
Vienna,AT13,1971,Austria,20-29,221925
Vienna,AT13,1981,Austria,20-29,173228
Vienna,AT13,1991,Austria,20-29,221278
Vienna,AT13,2001,Austria,20-29,151349
Vienna,AT13,2002,Austria,20-29,150713
Vienna,AT13,2003,Austria,20-29,152269
Vienna,AT13,2004,Austria,20-29,153975
Vienna,AT13,2005,Austria,20-29,155395
Vienna,AT13,2006,Austria,20-29,157660
Vienna,AT13,2007,Austria,20-29,160841
Vienna,AT13,2008,Austria,20-29,164636
Vienna,AT13,2009,Austria,20-29,167592
Vienna,AT13,2010,Austria,20-29,170937
Vienna,AT13,2011,Austria,20-29,173822
Vienna,AT13,2012,Austria,20-29,175538
Vienna,AT13,2013,Austria,20-29,178265
Vienna,AT13,2014,Austria,20-29,180308
Vienna,AT13,2015,Austria,20-29,181256
Vienna,AT13,1971,Austria,30-44,275968
Vienna,AT13,1981,Austria,30-44,311877
Vienna,AT13,1991,Austria,30-44,278833
Vienna,AT13,2001,Austria,30-44,320595
Vienna,AT13,2002,Austria,30-44,325301
Vienna,AT13,2003,Austria,30-44,327623
Vienna,AT13,2004,Austria,30-44,327955
Vienna,AT13,2005,Austria,30-44,326236
Vienna,AT13,2006,Austria,30-44,321810
Vienna,AT13,2007,Austria,30-44,314778
Vienna,AT13,2008,Austria,30-44,304850
Vienna,AT13,2009,Austria,30-44,294135
Vienna,AT13,2010,Austria,30-44,284927
Vienna,AT13,2011,Austria,30-44,277316
Vienna,AT13,2012,Austria,30-44,270528
Vienna,AT13,2013,Austria,30-44,265153
Vienna,AT13,2014,Austria,30-44,258883
Vienna,AT13,2015,Austria,30-44,254066
Vienna,AT13,1971,Austria,45-59,299626
Vienna,AT13,1981,Austria,45-59,258593
Vienna,AT13,1991,Austria,45-59,260512
Vienna,AT13,2001,Austria,45-59,264429
Vienna,AT13,2002,Austria,45-59,262159
Vienna,AT13,2003,Austria,45-59,260225
Vienna,AT13,2004,Austria,45-59,258926
Vienna,AT13,2005,Austria,45-59,258430
Vienna,AT13,2006,Austria,45-59,264126
Vienna,AT13,2007,Austria,45-59,269855
Vienna,AT13,2008,Austria,45-59,270604
Vienna,AT13,2009,Austria,45-59,273017
Vienna,AT13,2010,Austria,45-59,277239
Vienna,AT13,2011,Austria,45-59,282042
Vienna,AT13,2012,Austria,45-59,288190
Vienna,AT13,2013,Austria,45-59,293888
Vienna,AT13,2014,Austria,45-59,299298
Vienna,AT13,2015,Austria,45-59,302758
Vienna,AT13,1971,Austria,60-74,333571
Vienna,AT13,1981,Austria,60-74,246237
Vienna,AT13,1991,Austria,60-74,209269
Vienna,AT13,2001,Austria,60-74,194397
Vienna,AT13,2002,Austria,60-74,199353
Vienna,AT13,2003,Austria,60-74,202871
Vienna,AT13,2004,Austria,60-74,207653
Vienna,AT13,2005,Austria,60-74,212791
Vienna,AT13,2006,Austria,60-74,213197
Vienna,AT13,2007,Austria,60-74,214231
Vienna,AT13,2008,Austria,60-74,220129
Vienna,AT13,2009,Austria,60-74,225032
Vienna,AT13,2010,Austria,60-74,228228
Vienna,AT13,2011,Austria,60-74,230747
Vienna,AT13,2012,Austria,60-74,232114
Vienna,AT13,2013,Austria,60-74,233120
Vienna,AT13,2014,Austria,60-74,232979
Vienna,AT13,2015,Austria,60-74,226839
Vienna,AT13,1971,Austria,75+,110502
Vienna,AT13,1981,Austria,75+,133183
Vienna,AT13,1991,Austria,75+,132788
Vienna,AT13,2001,Austria,75+,125054
Vienna,AT13,2002,Austria,75+,127215
Vienna,AT13,2003,Austria,75+,126991
Vienna,AT13,2004,Austria,75+,126441
Vienna,AT13,2005,Austria,75+,126528
Vienna,AT13,2006,Austria,75+,126688
Vienna,AT13,2007,Austria,75+,126035
Vienna,AT13,2008,Austria,75+,125097
Vienna,AT13,2009,Austria,75+,123310
Vienna,AT13,2010,Austria,75+,121263
Vienna,AT13,2011,Austria,75+,119101
Vienna,AT13,2012,Austria,75+,117367
Vienna,AT13,2013,Austria,75+,115501
Vienna,AT13,2014,Austria,75+,115107
Vienna,AT13,2015,Austria,75+,121906
Vienna,AT13,1971,Foreign,00-14,9774
Vienna,AT13,1981,Foreign,00-14,24992
Vienna,AT13,1991,Foreign,00-14,40230
Vienna,AT13,2001,Foreign,00-14,43407
Vienna,AT13,2002,Foreign,00-14,44617
Vienna,AT13,2003,Foreign,00-14,44909
Vienna,AT13,2004,Foreign,00-14,43996
Vienna,AT13,2005,Foreign,00-14,43943
Vienna,AT13,2006,Foreign,00-14,44802
Vienna,AT13,2007,Foreign,00-14,45417
Vienna,AT13,2008,Foreign,00-14,47027
Vienna,AT13,2009,Foreign,00-14,49220
Vienna,AT13,2010,Foreign,00-14,51737
Vienna,AT13,2011,Foreign,00-14,55209
Vienna,AT13,2012,Foreign,00-14,58754
Vienna,AT13,2013,Foreign,00-14,62587
Vienna,AT13,2014,Foreign,00-14,66600
Vienna,AT13,2015,Foreign,00-14,71519
Vienna,AT13,1971,Foreign,15,588
Vienna,AT13,1981,Foreign,15,1211
Vienna,AT13,1991,Foreign,15,2719
Vienna,AT13,2001,Foreign,15,2536
Vienna,AT13,2002,Foreign,15,2631
Vienna,AT13,2003,Foreign,15,2901
Vienna,AT13,2004,Foreign,15,2803
Vienna,AT13,2005,Foreign,15,2697
Vienna,AT13,2006,Foreign,15,2674
Vienna,AT13,2007,Foreign,15,2671
Vienna,AT13,2008,Foreign,15,2877
Vienna,AT13,2009,Foreign,15,2832
Vienna,AT13,2010,Foreign,15,3074
Vienna,AT13,2011,Foreign,15,3023
Vienna,AT13,2012,Foreign,15,3258
Vienna,AT13,2013,Foreign,15,3445
Vienna,AT13,2014,Foreign,15,3562
Vienna,AT13,2015,Foreign,15,3707
Vienna,AT13,1971,Foreign,16,721
Vienna,AT13,1981,Foreign,16,1298
Vienna,AT13,1991,Foreign,16,2682
Vienna,AT13,2001,Foreign,16,2640
Vienna,AT13,2002,Foreign,16,2665
Vienna,AT13,2003,Foreign,16,2765
Vienna,AT13,2004,Foreign,16,3007
Vienna,AT13,2005,Foreign,16,2782
Vienna,AT13,2006,Foreign,16,2682
Vienna,AT13,2007,Foreign,16,2709
Vienna,AT13,2008,Foreign,16,2772
Vienna,AT13,2009,Foreign,16,2911
Vienna,AT13,2010,Foreign,16,2944
Vienna,AT13,2011,Foreign,16,3187
Vienna,AT13,2012,Foreign,16,3134
Vienna,AT13,2013,Foreign,16,3406
Vienna,AT13,2014,Foreign,16,3590
Vienna,AT13,2015,Foreign,16,3867
Vienna,AT13,1971,Foreign,17,847
Vienna,AT13,1981,Foreign,17,1274
Vienna,AT13,1991,Foreign,17,2839
Vienna,AT13,2001,Foreign,17,2616
Vienna,AT13,2002,Foreign,17,2838
Vienna,AT13,2003,Foreign,17,2946
Vienna,AT13,2004,Foreign,17,3045
Vienna,AT13,2005,Foreign,17,3037
Vienna,AT13,2006,Foreign,17,2816
Vienna,AT13,2007,Foreign,17,2719
Vienna,AT13,2008,Foreign,17,2802
Vienna,AT13,2009,Foreign,17,2864
Vienna,AT13,2010,Foreign,17,3073
Vienna,AT13,2011,Foreign,17,3084
Vienna,AT13,2012,Foreign,17,3308
Vienna,AT13,2013,Foreign,17,3389
Vienna,AT13,2014,Foreign,17,3645
Vienna,AT13,2015,Foreign,17,3950
Vienna,AT13,1971,Foreign,18,1048
Vienna,AT13,1981,Foreign,18,1302
Vienna,AT13,1991,Foreign,18,2847
Vienna,AT13,2001,Foreign,18,2587
Vienna,AT13,2002,Foreign,18,2832
Vienna,AT13,2003,Foreign,18,3259
Vienna,AT13,2004,Foreign,18,3123
Vienna,AT13,2005,Foreign,18,3284
Vienna,AT13,2006,Foreign,18,3155
Vienna,AT13,2007,Foreign,18,2980
Vienna,AT13,2008,Foreign,18,2924
Vienna,AT13,2009,Foreign,18,3116
Vienna,AT13,2010,Foreign,18,3302
Vienna,AT13,2011,Foreign,18,3428
Vienna,AT13,2012,Foreign,18,3460
Vienna,AT13,2013,Foreign,18,3956
Vienna,AT13,2014,Foreign,18,4051
Vienna,AT13,2015,Foreign,18,4492
Vienna,AT13,1971,Foreign,19,1056
Vienna,AT13,1981,Foreign,19,1326
Vienna,AT13,1991,Foreign,19,3302
Vienna,AT13,2001,Foreign,19,3046
Vienna,AT13,2002,Foreign,19,3132
Vienna,AT13,2003,Foreign,19,3678
Vienna,AT13,2004,Foreign,19,3963
Vienna,AT13,2005,Foreign,19,4057
Vienna,AT13,2006,Foreign,19,4051
Vienna,AT13,2007,Foreign,19,3696
Vienna,AT13,2008,Foreign,19,3801
Vienna,AT13,2009,Foreign,19,3821
Vienna,AT13,2010,Foreign,19,4155
Vienna,AT13,2011,Foreign,19,4422
Vienna,AT13,2012,Foreign,19,4573
Vienna,AT13,2013,Foreign,19,4999
Vienna,AT13,2014,Foreign,19,5581
Vienna,AT13,2015,Foreign,19,5803
Vienna,AT13,1971,Foreign,20-29,17571
Vienna,AT13,1981,Foreign,20-29,27638
Vienna,AT13,1991,Foreign,20-29,46546
Vienna,AT13,2001,Foreign,20-29,46902
Vienna,AT13,2002,Foreign,20-29,50021
Vienna,AT13,2003,Foreign,20-29,55438
Vienna,AT13,2004,Foreign,20-29,59741
Vienna,AT13,2005,Foreign,20-29,66319
Vienna,AT13,2006,Foreign,20-29,70727
Vienna,AT13,2007,Foreign,20-29,70955
Vienna,AT13,2008,Foreign,20-29,73587
Vienna,AT13,2009,Foreign,20-29,75601
Vienna,AT13,2010,Foreign,20-29,76494
Vienna,AT13,2011,Foreign,20-29,77281
Vienna,AT13,2012,Foreign,20-29,78404
Vienna,AT13,2013,Foreign,20-29,84429
Vienna,AT13,2014,Foreign,20-29,90463
Vienna,AT13,2015,Foreign,20-29,97490
Vienna,AT13,1971,Foreign,30-44,17594
Vienna,AT13,1981,Foreign,30-44,35514
Vienna,AT13,1991,Foreign,30-44,63577
Vienna,AT13,2001,Foreign,30-44,76380
Vienna,AT13,2002,Foreign,30-44,80959
Vienna,AT13,2003,Foreign,30-44,83411
Vienna,AT13,2004,Foreign,30-44,84606
Vienna,AT13,2005,Foreign,30-44,88471
Vienna,AT13,2006,Foreign,30-44,92629
Vienna,AT13,2007,Foreign,30-44,95795
Vienna,AT13,2008,Foreign,30-44,100850
Vienna,AT13,2009,Foreign,30-44,105803
Vienna,AT13,2010,Foreign,30-44,109770
Vienna,AT13,2011,Foreign,30-44,115150
Vienna,AT13,2012,Foreign,30-44,121093
Vienna,AT13,2013,Foreign,30-44,128064
Vienna,AT13,2014,Foreign,30-44,137267
Vienna,AT13,2015,Foreign,30-44,148432
Vienna,AT13,1971,Foreign,45-59,7242
Vienna,AT13,1981,Foreign,45-59,13872
Vienna,AT13,1991,Foreign,45-59,23345
Vienna,AT13,2001,Foreign,45-59,46895
Vienna,AT13,2002,Foreign,45-59,49792
Vienna,AT13,2003,Foreign,45-59,51498
Vienna,AT13,2004,Foreign,45-59,52279
Vienna,AT13,2005,Foreign,45-59,53720
Vienna,AT13,2006,Foreign,45-59,56044
Vienna,AT13,2007,Foreign,45-59,57115
Vienna,AT13,2008,Foreign,45-59,57922
Vienna,AT13,2009,Foreign,45-59,59770
Vienna,AT13,2010,Foreign,45-59,61550
Vienna,AT13,2011,Foreign,45-59,63406
Vienna,AT13,2012,Foreign,45-59,65982
Vienna,AT13,2013,Foreign,45-59,68943
Vienna,AT13,2014,Foreign,45-59,72987
Vienna,AT13,2015,Foreign,45-59,77474
Vienna,AT13,1971,Foreign,60-74,3619
Vienna,AT13,1981,Foreign,60-74,3415
Vienna,AT13,1991,Foreign,60-74,6676
Vienna,AT13,2001,Foreign,60-74,14196
Vienna,AT13,2002,Foreign,60-74,15212
Vienna,AT13,2003,Foreign,60-74,16142
Vienna,AT13,2004,Foreign,60-74,17094
Vienna,AT13,2005,Foreign,60-74,18154
Vienna,AT13,2006,Foreign,60-74,19413
Vienna,AT13,2007,Foreign,60-74,20502
Vienna,AT13,2008,Foreign,60-74,21698
Vienna,AT13,2009,Foreign,60-74,23390
Vienna,AT13,2010,Foreign,60-74,25079
Vienna,AT13,2011,Foreign,60-74,27135
Vienna,AT13,2012,Foreign,60-74,28974
Vienna,AT13,2013,Foreign,60-74,31649
Vienna,AT13,2014,Foreign,60-74,34002
Vienna,AT13,2015,Foreign,60-74,36381
Vienna,AT13,1971,Foreign,75+,1509
Vienna,AT13,1981,Foreign,75+,1575
Vienna,AT13,1991,Foreign,75+,1889
Vienna,AT13,2001,Foreign,75+,2567
Vienna,AT13,2002,Foreign,75+,2838
Vienna,AT13,2003,Foreign,75+,2962
Vienna,AT13,2004,Foreign,75+,3150
Vienna,AT13,2005,Foreign,75+,3401
Vienna,AT13,2006,Foreign,75+,3801
Vienna,AT13,2007,Foreign,75+,4160
Vienna,AT13,2008,Foreign,75+,4385
Vienna,AT13,2009,Foreign,75+,4683
Vienna,AT13,2010,Foreign,75+,4919
Vienna,AT13,2011,Foreign,75+,5309
Vienna,AT13,2012,Foreign,75+,5623
Vienna,AT13,2013,Foreign,75+,6044
Vienna,AT13,2014,Foreign,75+,6465
Vienna,AT13,2015,Foreign,75+,7048
City,901,1971,Austria,00-14,2708
City,901,1981,Austria,00-14,1956
City,901,1991,Austria,00-14,1650
City,901,2001,Austria,00-14,1452
City,901,2002,Austria,00-14,1479
City,901,2003,Austria,00-14,1451
City,901,2004,Austria,00-14,1429
City,901,2005,Austria,00-14,1420
City,901,2006,Austria,00-14,1368
City,901,2007,Austria,00-14,1337
City,901,2008,Austria,00-14,1291
City,901,2009,Austria,00-14,1264
City,901,2010,Austria,00-14,1304
City,901,2011,Austria,00-14,1280
City,901,2012,Austria,00-14,1258
City,901,2013,Austria,00-14,1233
City,901,2014,Austria,00-14,1230
City,901,2015,Austria,00-14,1276
City,901,1971,Austria,15,172
City,901,1981,Austria,15,174
City,901,1991,Austria,15,104
City,901,2001,Austria,15,94
City,901,2002,Austria,15,114
City,901,2003,Austria,15,109
City,901,2004,Austria,15,112
City,901,2005,Austria,15,93
City,901,2006,Austria,15,110
City,901,2007,Austria,15,93
City,901,2008,Austria,15,96
City,901,2009,Austria,15,103
City,901,2010,Austria,15,98
City,901,2011,Austria,15,77
City,901,2012,Austria,15,89
City,901,2013,Austria,15,93
City,901,2014,Austria,15,89
City,901,2015,Austria,15,83
City,901,1971,Austria,16,190
City,901,1981,Austria,16,199
City,901,1991,Austria,16,124
City,901,2001,Austria,16,112
City,901,2002,Austria,16,96
City,901,2003,Austria,16,116
City,901,2004,Austria,16,112
